9287;26;10006;141
9545;11;9604;137
8525;6;9293;117
8565;5;9020;94
9026;5;9911;84
9368;4;10076;90
9219;5;9634;83
9242;4;10075;80
8840;3;10628;80
9447;3;9791;91
8076;4;9504;77
9019;5;9353;78
8697;5;9735;80
8710;4;9507;77
8171;4;8722;84
8412;4;9366;89
9177;7;9838;88
9276;4;9382;90
9417;5;9528;81
7820;4;8599;86
8137;5;9409;80
9804;5;9982;82
8976;3;10134;77
8480;3;9682;80
9123;3;9736;81
8148;5;9330;88
9800;4;9780;78
9425;3;10415;77
8932;5;9475;80
8812;4;9786;82
8962;4;9686;76
8483;3;9550;78
9652;5;9833;79
8741;4;9977;85
8667;4;9184;95
8731;5;9062;81
8390;4;9466;79
8964;4;9516;81
8535;5;9298;82
7758;4;8790;88
9430;4;9660;82
9599;4;9906;80
9137;4;9688;77
8826;3;9309;82
8887;3;10098;79
9011;3;9757;79
8972;5;10243;81
9419;5;10170;79
8887;4;9519;80
9038;5;9397;81
8907;3;9725;84
9679;4;10433;78
8686;4;9845;81
8993;4;9516;80
8687;3;8937;77
8835;3;10038;81
8930;4;10098;76
8922;4;8846;79
8359;4;9008;80
9351;3;10487;84
8883;4;9979;89
8798;4;9496;83
9686;4;10319;85
8767;4;9915;78
9362;3;9882;79
8316;5;9079;78
8533;4;9865;81
9211;5;10198;83
8738;5;9554;79
9433;4;9925;79
9006;4;9640;84
8491;3;9542;81
8638;3;9295;79
8528;3;9440;82
8127;4;8743;78
8526;4;9266;78
8480;5;9275;78
8684;5;9721;78
8199;5;8968;77
8137;3;8443;86
9409;3;9450;79
8810;4;9420;81
8591;3;8968;80
9267;4;9640;79
9341;3;9774;80
8792;4;9012;78
8649;4;9816;78
9324;5;10362;80
9126;3;9425;79
9863;3;9958;79
9367;4;9346;78
8414;3;8992;85
8962;4;9432;94
9220;3;9823;79
9001;4;9239;79
8770;3;9475;77
8750;4;9246;77
9518;4;9432;78
8807;4;9491;79
9111;5;9807;77
