633972;464;2147483647;251;582464;216;608354;248
607979;260;2147483647;219;599080;209;607287;211
619014;206;2147483647;214;630429;212;642552;214
654078;216;2147483647;222;659079;203;668661;218
604778;223;2147483647;211;647053;201;594437;210
678377;204;2147483647;205;682938;208;686620;209
618988;211;2147483647;213;621499;211;635914;211
616829;211;2147483647;207;568320;209;592630;207
597434;206;2147483647;203;602000;207;583567;208
593209;206;2147483647;209;568213;209;597780;208
629696;207;2147483647;208;594022;207;641709;212
575562;202;2147483647;202;620371;207;632980;206
618015;209;2147483647;209;623701;206;616743;205
636165;208;2147483647;203;631679;206;656666;203
601092;204;2147483647;205;642798;206;628377;207
652082;208;2147483647;210;641103;205;630991;201
557593;206;2147483647;203;541756;203;518740;206
652817;202;2147483647;204;699777;202;709701;208
608419;203;2147483647;213;602323;204;599495;212
585904;205;2147483647;208;576406;206;587836;204
612726;204;2147483647;213;604991;200;608081;209
595156;206;2147483647;210;574582;207;562098;217
597818;207;2147483647;211;596363;206;609766;202
581197;207;2147483647;203;582640;204;595006;204
680310;206;2147483647;209;674884;207;701932;204
626149;211;2147483647;206;601809;207;617048;210
603208;206;2147483647;203;611968;203;592672;204
584607;208;2147483647;207;586219;209;585891;209
632616;204;2147483647;205;636252;204;611456;206
626597;208;2147483647;205;623365;205;610147;205
640063;220;2147483647;206;629961;205;592850;211
594705;208;2147483647;205;610174;206;630547;208
644393;200;2147483647;206;657055;203;657391;206
584514;205;2147483647;208;585608;206;582416;215
581506;208;2147483647;206;579123;205;558093;203
629709;213;2147483647;204;618049;203;634910;209
635094;217;2147483647;206;646062;214;613149;208
627029;209;2147483647;207;603167;210;613074;207
572075;204;2147483647;201;573937;200;588428;207
578193;206;2147483647;209;568780;210;558351;206
605819;208;2147483647;209;598645;218;608739;202
638131;208;2147483647;205;645847;205;647077;203
600266;203;2147483647;208;588902;207;609896;213
633564;213;2147483647;208;649398;209;652029;213
559939;205;2147483647;211;565717;203;565030;207
622981;207;2147483647;217;584306;214;601218;216
645359;209;2147483647;233;636843;211;651915;207
576267;211;2147483647;203;565727;211;564930;205
586935;214;2147483647;204;640356;228;636965;207
657511;219;2147483647;204;644883;208;642867;208
637492;215;2147483647;210;646900;222;626716;213
630990;207;2147483647;220;630990;225;630199;228
608178;219;2147483647;211;624914;209;582547;209
599663;224;2147483647;216;625847;220;599663;219
609270;220;2147483647;213;623230;213;620229;211
585540;211;2147483647;206;591820;186;568389;204
652313;180;2147483647;179;635122;180;635921;184
637996;198;2147483647;213;643360;198;629249;209
569713;186;2147483647;183;578021;180;569712;209
598594;215;2147483647;216;594806;177;589328;181
656172;180;2147483647;181;628388;178;630142;186
702406;211;2147483647;210;677423;191;662968;181
609797;180;2147483647;182;601466;181;608362;182
622814;180;2147483647;189;622336;188;625090;183
625912;179;2147483647;190;632706;181;626087;207
649532;201;2147483647;180;645699;181;663779;217
661255;191;2147483647;181;621733;182;620424;194
588720;208;2147483647;181;588710;190;599004;215
631091;196;2147483647;180;588952;182;618049;181
613242;180;2147483647;188;613242;187;613242;183
585387;177;2147483647;177;574311;181;577606;186
611939;184;2147483647;185;602724;182;585901;182
588012;182;2147483647;184;619502;181;601920;177
589036;177;2147483647;182;598181;180;599317;180
597524;177;2147483647;179;586040;178;598406;178
656707;176;2147483647;180;633527;178;635899;200
624650;201;2147483647;192;614377;188;616870;182
563784;194;2147483647;186;566014;220;568899;190
561713;186;2147483647;178;560608;180;561713;177
622809;180;2147483647;178;620062;181;614297;179
646966;179;2147483647;180;656305;188;632698;192
602086;187;2147483647;179;603943;186;615615;187
681132;189;2147483647;188;669792;177;644495;181
600902;179;2147483647;174;592346;178;581908;181
623426;178;2147483647;182;638884;190;638932;181
627101;179;2147483647;175;607565;178;618251;178
611710;178;2147483647;182;632463;178;653067;177
632339;178;2147483647;176;656289;178;625390;177
610564;178;2147483647;175;611988;187;596897;176
645822;179;2147483647;176;637376;179;647612;181
647011;177;2147483647;176;623901;177;620338;177
625180;177;2147483647;187;613775;180;605000;176
649939;178;2147483647;177;660474;178;625278;176
581838;177;2147483647;176;584282;178;590323;180
650834;180;2147483647;177;640060;177;629286;177
615271;178;2147483647;175;607115;180;599808;176
596150;178;2147483647;177;581733;182;589079;177
625490;179;2147483647;176;596447;178;606795;182
640080;180;2147483647;178;624017;180;653482;177
577217;178;2147483647;177;582236;180;582236;177
