8601;38;8480;933
8997;10;8694;809
9162;4;8371;769
8640;4;8584;779
8602;4;8405;762
8487;5;8685;739
8511;3;8412;763
8593;3;8409;749
8369;5;8143;741
8324;4;8691;730
8856;4;8742;738
9223;5;8935;743
8208;4;7986;737
8461;4;7802;753
10060;4;9727;736
9153;4;8893;732
9077;6;8472;742
8989;4;8923;729
8966;4;8823;736
8929;3;8834;742
8815;4;8441;731
9151;4;8759;731
9151;4;8772;750
9381;4;8809;734
9504;4;9043;743
9030;4;9035;748
9445;4;8866;776
8454;4;8537;771
9090;5;8906;787
8377;5;8864;793
8792;5;8629;759
9351;4;8905;729
8660;4;8911;730
9408;4;8337;733
8635;4;8622;740
8906;4;8910;780
8196;4;8767;741
9007;4;8742;722
8750;3;8429;720
9067;3;9331;781
8871;3;8799;768
8570;4;8724;862
8668;7;8595;847
8293;5;8455;763
8956;5;8658;871
8335;5;8205;777
8893;4;8771;730
9563;4;8741;813
8922;4;8329;748
9687;4;9136;752
9554;4;9208;782
8580;4;8181;803
8663;4;8341;746
9168;5;8971;729
8840;4;8413;820
8313;6;8334;741
8948;3;8248;729
8866;4;8624;732
9391;3;8567;724
8874;4;8993;730
7923;4;8412;716
8115;4;8037;720
9083;4;8678;711
8328;4;8341;738
8526;4;8718;728
8787;4;9159;737
8807;3;8429;797
9278;4;8735;761
8613;4;8480;835
8797;4;8226;867
8940;4;8546;801
10281;4;9126;784
9061;4;8779;763
8852;4;8865;786
8820;4;9150;833
9358;5;8997;741
9270;4;8585;773
9111;5;9103;737
8576;4;8630;804
9121;5;9219;751
8712;4;8573;837
9486;5;9062;758
9339;6;8891;757
9224;4;8923;733
8586;4;9090;758
9393;3;9512;786
9100;3;8854;731
8300;4;8238;720
8802;4;8765;719
9393;4;8719;712
9084;3;8361;725
8709;3;8579;720
8960;4;7968;749
8668;4;8237;731
8968;4;8448;782
8903;4;8550;750
9146;4;9213;772
9334;3;8934;824
8291;4;8128;735
8150;4;8024;760
