284485;0;144
224327;0;125
279947;0;40
2147483647;392407;94
328485;0;137
285790;0;37
292567;0;10
227539;0;83
303571;0;67
289409;0;87
302285;0;13
300033;0;22
303250;0;82
245930;0;153
327305;0;34
255590;0;10
337662;0;23
268466;0;14
291020;0;44
292427;0;46
269366;0;12
303699;0;70
301426;0;78
284917;0;40
251237;0;40
288914;0;13
297977;0;127
347302;0;49
331429;0;57
325404;0;27
266250;0;110
256083;0;64
352529;0;17
294004;0;63
273646;0;118
282934;0;13
271569;0;94
310535;0;159
270274;0;102
277163;0;11
286951;0;61
324521;0;56
319320;0;10
221608;0;141
298861;0;139
264170;0;83
296863;0;42
248726;0;48
228378;0;15
276130;0;41
313882;0;110
348474;0;27
282998;0;30
280817;0;35
268141;0;70
333466;0;36
353676;0;18
309985;0;5
360975;0;44
304130;0;21
309713;0;169
256436;0;14
207424;0;17
266244;0;46
247143;0;15
252570;0;24
331680;0;82
345582;0;55
293494;0;34
337746;0;27
292006;0;69
355747;0;34
316682;0;22
259502;0;21
2147483647;300398;61
337387;0;14
294160;0;53
256015;0;19
262222;0;55
276297;0;19
330423;0;46
297630;0;45
311149;0;44
276240;0;41
364298;0;46
275666;0;7
305745;0;0
322350;0;7
289316;0;68
323451;0;60
323494;0;120
257261;0;56
282512;0;29
250252;0;28
285690;0;94
297532;0;31
277617;0;20
373164;0;41
288868;0;37
269944;0;31
284705;0;75
346820;0;47
300845;0;60
241995;0;47
319384;0;26
260317;0;33
302117;0;10
282247;0;58
245501;0;23
355852;0;15
321850;0;26
348938;0;52
224813;0;70
187412;0;73
243460;0;47
287769;0;91
307218;0;23
342038;0;23
247713;0;30
278565;0;19
267988;0;11
256016;0;8
282237;0;42
292193;0;32
286494;0;97
282285;0;71
288487;0;26
254934;0;45
279770;0;24
286750;0;79
261577;0;106
276540;0;16
265204;0;24
286647;0;106
336741;0;26
297645;0;83
267720;0;84
306464;0;69
254501;0;5
274761;0;28
316462;0;14
302445;0;17
298864;0;38
261167;0;16
273537;0;26
230299;0;15
279778;0;42
323657;0;24
312190;0;37
271086;0;29
308397;0;29
263748;0;44
301056;0;13
309735;0;20
322339;0;33
305477;0;26
309836;0;54
266953;0;54
301118;0;21
332221;0;29
289821;0;44
287818;0;13
259114;0;25
269565;0;49
302202;0;58
287010;0;214
343592;0;23
322047;0;19
285261;0;30
270297;0;14
291182;0;4
346175;0;21
313377;0;15
270477;0;21
279760;0;13
305383;0;66
300258;0;80
268218;0;182
309278;0;47
256250;0;9
300487;0;25
297086;0;65
300299;0;105
317751;0;46
251432;0;45
296037;0;41
271679;0;53
305337;0;12
319374;0;18
230236;0;63
255963;0;23
229822;0;19
312541;0;49
263298;0;33
320585;0;62
266151;0;25
237687;0;66
321586;0;54
278817;0;53
289315;0;29
294039;0;51
301998;0;32
303715;0;22
325372;0;43
284194;0;151
274791;0;6
266488;0;18
262979;0;31
2147483647;266180;70
218824;0;40
355617;0;62
299703;0;38
325407;0;4
219158;0;10
251741;0;60
205840;0;19
316686;0;19
298201;0;11
329868;0;35
278487;0;34
253781;0;46
354068;0;52
249411;0;85
290399;0;13
358132;0;88
284511;0;29
