Keskimääräinen ero arvioituun lyhimpään reittiin;;;;;
v;AinaLahimpaan;AntSystem;;;
30;9 %;6 %;;;
60;13 %;9 %;;;
90;15 %;12 %;;;
120;16 %;12 %;;;
;;;;;
;Maksimiero;;;;
v;AinaLahimpaan;AntSystem;;;
30;18 %;18 %;;;
60;28 %;17 %;;;
90;26 %;22 %;;;
120;25 %;23 %;;;
;;;;;
;;;;;
;Keskimääräinen kesto (ms);;;;
v;AinaLahimpaan;AntSystem;;;
30; 0   ; 40   ;236,7647059;;
60; 1   ; 319   ;275,0948276;;
90; 3   ; 1 064   ;378,747331;;
120; 6   ; 2 502   ;428,4366438;;
